,number_of_likes,caption
174,44,# goodmorning #ivanooze #mightymorphin #breakfast #strawblueberry #banana #protein #ifshedooesntknow #shestooyoungforuoubro
175,57,#simple #madebed It made a world of difference today to actually do something so simple as take the time to make my bed. Today was a good day😊
176,32,LOVE. MERCY. overcomes ALL! #itisWRITTEN
177,5,Chicken cutlet with homemade pesto sauce sautéd onions and potatoes:)
178,39,#meal3 #salmonburger #spinach #tomatoes #avocado #wholegrainbun #fitmencook #failtopreparepreparetofail
179,23,#happy#birthday#outback#grubbin#goodtimes#thisgirl#awesom
180,65,❤️ #UMHB #alumni #GOCRU #family
181,22,#Calledit #comeback 😁😎
182,84,Dallas fair yesterday with this amazing woman😁 and friends! Uhmmm we killed fair food haha
183,61,#nofilter #fitmencook #mealprep #inspiration #allkindsofgainscomingsoon #idontalwaysboast #butwhenidoitsinthekitchen #thatisall 🙌 (Do I win?... Inside joke)
184,52,#picstitch #ootd #fencefellfail #windyaf #christmas #love #family #friends #gifts #nixon #polo #sperry #goodnight @nrdelgado @dearestgeorgie and @erramendozaa__ thanks for the polo shirts I love em!!! See y'all tomorrow
185,46,#jason #mraz #request #ukulele #early #morning #riseandshine #im #yours #ootd
186,65,#Trainingagain #iloveprintedsocks #preworkoutshake #straightoutofthevitamix #austinliving
187,58,#dallas 😁
188,49,#Latepost #perlas #batsofaustin #velery #dayvisit #sleepovernexttime #shehassomephotographyskills (All PC: @vel002 )😁
189,28,"Such an amazing word at last nights service. If you need some encouragement and have been feeling down, I pray this finds you well. #itisWRITTEN #clc #austin"
190,3,Lillyana stuntin hahahah;) old but forgot to post:)
191,40,#nature #bench #hot #texas #heat #ukulele #sure #thing #miguel #raybans #UMHB
192,34,3:17
193,62,#CRSB #you&I #ukulele #snippet #inthefeels (VC: @tierramendoza__ )
194,26,"#continuumministries #austin #clc #college #youngadults #tuesdays #9pm #clclaustin #worship #fellowship #itisWRITTEN. If you are not doing anything on a Tuesday night, come join me and other amazing individuals to worship and praise God. If you feel like you are disconnected or long for something more, come on out I promise you won't regret it. I know tonight is going to be a great night! @clcaustin @continuumministries"
195,56,#posthikemeal #westcoast #innout #icandienow wayyyyy better in CALI!!!
196,6,#drivefast#nostressGodBless
197,63,#latenightshenanigans #austinitesassemble!!!!👊
198,71,#snippet #imnottheonlyone #samsmithcover #acoustic #crownsguam
199,51,11:41
200,65,#graduation #littlesis #paininmyass #shedidit #thankGod #hallelujah😁😁😁🙌🙏
201,14,#nixon#addtothecollection#mallsplurge
202,45,#latepost #brunomars #concert #bowtie #raybans #missmyGodbro #depressed #laughsfordays #wanteggroll @thatboydanny
203,19,If you miss Continuum like I do come out and spend time with our little family we created! First event of the summer and I know it's going to be a blast. This is just the beginning of some great things to come! See y'all there!!!! #CLC #continuumministries #austin #youngadult #ilovemychurch #bringafriend
204,43,No filter needed! 🙌❤️😍
205,5,Yoyos!:)
206,42,Things you feel on your lunch break. #itisWRITTEN 🙌
207,31,#oldfriends #newfriends #iddoanything #smallthings #greatlove #AMEN #mothertheresa #grateful #blessed #happythankgiving @snicolep_14 @ragencars @gricky10 @shannonseiko @vperez2877 @daliakassem @laylakassem @babyzain(haha)
208,77,#ifshedoesntknowwherethisisfrom #shestooyoungforyoubro #nameit😍
209,61,#postworkout #itfitsmymacros
210,35,#5amworkout #riseandgrind #emptygym #meandtheweights #dontmarkmedownforcardio #legday #deadlifts #frontsquats That moment you walk into the gym and it's an open field of opportunity to make some gains! No one else was hungry I guess!
211,26,#pho #austin #happy #holidays #merry #christmas #little #sis #madlove #surpise #theymad #tricked #sneaky @erramendozaa__ @theendelgado @dearestgeorgie
212,53,#austin #mamafu's #lunch #newhome
213,38,#halfnattylighting #beastinthekitchen
214,61,#keepaustinweird
215,61,#lunch #meal3 #fitmencook #turkeysandwich #spinach #tomatoes #wholegrainbun #eggsaladwithgreekyogurt #srirachawasabipeas #strawberryandcucumbersalad
216,40,This is my little sister!!! Happy birthday! You're ugly! Doi tashimashtae!!! Bye Felicia 👋 as much of a pain in butt you are all day errrrday I still love you sis and don't forget it! I will always be here for you even when you think I'm against you. That is all this is too much emotion I'm showing haha. K love you bye 😊
217,6,
218,54,#sixflags #allday #teamdatass #superman #batman #greenlantern #captainamerica #flash #ironman #rollercoaster #wecantstop #laughing @nixnetwork @thatboydanny @thatgirljehda @erramendozaa__ @nathierae
219,11,#shrimpcocktail#brown&wildrice#dinner
220,62,#tbt #FTW #sixflags #FBGM #avengers #bonnie&clyde #firstletmetakeaselfie 😂😂😁😁
221,114,"Always thankful, because You’re always faithful."
222,45,#currentsituation
223,71,"These people are not just friends but they are family! I love each and every one of them! I am so thankful to be a part of such an amazing team that loves youth! We came together and poured out our love to our students and God showed up in a big way! While it was amazing fun before and after service what’s most important is that a handful of students boldly stepped out of their comfort zone and made the choice to accept Jesus in their heart! It was so amazing to just see and know God was working in their hearts just as he does in all of us. Excited to see what God is going to do in us and through us! Let’s go!
#clcstudents #bestyouthteamever"
224,45,#picstitch #play #day #UMHB #dinner #great #day #new #people #FUN!!!
225,37,#tidbitnippy #presentation #school #UMHB #bowtie #peacoat #ready
226,35,#takingitwayback #n64 #supermarioparty #austinliving
227,30,#early #morning #austin #marathon #1168 #letsgetit #staycalm #livestrong
228,16,#picstitch #tb #chubbybunny #loveyoubro #hilarious #dying @thatboydanny @jehda @theendelgado @erramendoza__
229,63,#siblinglove #firstnightfestivities #always&forever #family #party I would not be where I am or who I am for that matter without these two! Lately communication has been absent between us but since The Lord has blessed our family to finally be together again it is as if nothing changed! #turndownforwhat!
230,51,"God is always working for you, even when you can't see the finish; He does! #itisWRITTEN #progress #austin"
231,23,#sweet#sour#meatballs#quinoa#asparagus#healthy#cleaneats#movienight#postworkmout @natdelgado #onmylevel
232,51,#meal4 #bakedtilapia #quinoa #picodegallo #cucumbers #parsley #sriracha #fitmencook 🙌
233,20,#picstitch#brightassflash #squinting#bonfire#howwedo#thesegirls#awesomenight @dearestgeorgie @sumsumsumera @mo_499 @vee111311
234,18,#picstitch#party#goodfriends#goodtimes#livelife#newpeople#hostoftheyear #alwayshere @gabiiibarajasss @dearestgeorgie
235,52,#morning #home #sunny #ukulele #treasure #requested #brunomars #offtoschool #thatisall
236,43,#kitchen #jam #sesh #common #kings #fly #ukluele #sweats #offwork #random #things #itry
237,54,#picstitch #couscous #salmon #shrimp #dinner #dontplay #inthekitchen #homecooked #feastin #family #love @nrdelgado @nixnetwork @chamorie @lori_ann_p @heartns0le
238,57,#me #pops #identical #scary #airforce #army # ootm #love #mydad!!!
239,48,#HBD #dad
240,63,#littlesis #sunsout #gunsout #workinprogress #austin
241,77,#Ootd ## #nathenaisaprincess
242,29,@heartns0le #collegelife#straightbusiness#futureaccountant
243,84,Got my fix! Quality time with my bro was much needed! #ramentatsuya
244,99,Bliss up! 🙌🏾
245,41,#late #post #daily #video #requests #motivated #ukulele #rebel #souljahz #takealookinmyeyes #savetheworld #onesongatatime #wellsaid #numerouno #callsmebruno #haha
246,28,"#Legday✅ #preworkout✅ #headphones✅ #gym🙅🏽 CLOSED WTF😑😳😭 Just because things don't turn out the way you planned even if you prepared, reevaluate and adapt. I ran my frustration out and enjoyed the scenic route of my new home #austin. Take time to enjoy the little things. That power line though😂"
247,59,#sugarland #impactahero #tasteoftexas #blessed #family #muchneededweekend #untilnexttime thank you family!!! I love you all!
248,46,#fbf #dallasart #doyouevenhookah
249,14,#picstitch #happybirthday #littlesis #loveyou #readysetgo #shegrown!!! @erramendozaa__
250,35,#benihana #ichefitup #athome #valentines #friedrice #shrimp #steak #chicken #scallops #mixedveggies #oneday #illmakeherhappy
251,40,#matchplay #3down #raining #grinding #dontcallitacomeback
252,25,#random #tooearly #roadtrip #10hours #DEAD #doitforfamily #nosleep
253,132,Not today. #getbehindthee
254,6,#no filter #friends&fam
255,20,#day2#test#presentation#futureaccountant #collegelife
256,53,#thecrew #FWU #sixflags
257,41,#seeheragain #jboog #ukulele #snippet #fullcovercomingsoon #justbecause
258,32,#teamnosleep #pre-workout #C4 #latenightmadness
259,9,#crazy#youknow #express
260,44,#iifym #proteinsshake #greekyogurt #week5down
261,48,#rayban #floral #familytrip #Sanantonio #thistrafficthough #sunny
262,37,#all #about #mac #denton #friends #dinner #foodporn
263,5,SWAG!
264,53,#guam #fam #tooshort
265,32,We all need a little encouragement everyday. No matter if we think we have it altogether. I pray this finds you well. Wherever you may be. For daily uplifting and inspiration follow: @_itiswritten
266,40,#startingthedaylate #postworkout #ootd #debating #buttonup #buttondown #express #chill #noworries #dinner #thanks @dearestgeorgie she dressed me haha @nrdelgado @heartns0le @lori_ann_p @erramendozaa__
267,14,#needagetaway #kahalagiveaway
268,6,I love you sis don't hate me(;
269,54,#ootd
270,43,#picstitch #toughmudder #2013 #team #coffee #&donuts #dos #headband #anothergoalachieved #ontothenextone @nixnetwork @heartns0le @lori_ann_p @chamorie @inenehu @nrdelgado
271,39,You don't want to miss it! Come out for great worship and fellowship with other young adults! #praiseprayerplanning
